2024-04-25 16:09:20,334 - Episode: 259/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-25 16:09:26,193 - Episode: 260/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 16:09:31,855 - Episode: 261/1000, Total Reward: -4.000000000000001, Accuracy: 0.00
2024-04-25 16:09:37,520 - Episode: 262/1000, Total Reward: -2.5, Accuracy: 0.00
2024-04-25 16:09:43,399 - Episode: 263/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 16:09:49,062 - Episode: 264/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-25 16:09:54,817 - Episode: 265/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 16:10:00,433 - Episode: 266/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 16:10:06,494 - Episode: 267/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 16:10:12,879 - Episode: 268/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 16:10:18,601 - Episode: 269/1000, Total Reward: -0.799999999999998, Accuracy: 0.00
2024-04-25 16:10:24,338 - Episode: 270/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 16:10:30,115 - Episode: 271/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-25 16:10:35,815 - Episode: 272/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-25 16:10:41,473 - Episode: 273/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-25 16:10:47,162 - Episode: 274/1000, Total Reward: -0.799999999999998, Accuracy: 0.00
2024-04-25 16:10:52,869 - Episode: 275/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 16:10:58,493 - Episode: 276/1000, Total Reward: -3.0, Accuracy: 0.00
